table,year,fname,var_name,var_type,value_filter,marstat,description,irs_col_header,xlcolumn,xl_colnumber,incsort,incrange,xlrownum,raw_value
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,5,"$10,000 under $15,000",13,714119.0
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,6,"$15,000 under $20,000",14,757406.0
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,7,"$20,000 under $25,000",15,685968.0
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,8,"$25,000 under $30,000",16,686838.0
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,9,"$30,000 under $40,000",17,1480384.0
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,10,"$40,000 under $50,000",18,1585276.0
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,11,"$50,000 under $75,000",19,3974772.0
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,12,"$75,000 under $100,000",20,3723238.0
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,13,"$100,000 under $200,000",21,8972329.0
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,14,"$200,000 under $500,000",22,5657743.0
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,15,"$500,000 under $1,000,000",23,1299171.0
tab14,2021,21in14ar.xls,orddiv,count,nz,all,Ordinary dividends — number of returns,Ordinary dividends | Number of returns,L,12,16,"$1,000,000 under $1,500,000",24,320718.0
